Partlist

Exported from SD-101D Robotics Cape.brd at 5/12/17 4:58 AM

EAGLE Version 8.2.0 Copyright (c) 1988-2017 Autodesk, Inc.

Assembly variant: 

Part        Value                         Package               Library                    Position (inch)       Orientation
R1          47k                           0402-RES              Strawson_Eagle_Lib         (1.62 0.78)           R270
R3          1k                            0402-RES              Strawson_Eagle_Lib         (0.885 1.65)          R90
R4          0.1                           0603-RES              SparkFun-Resistors         (1.31 1.855)          R180
R5          10k                           0402-RES              Strawson_Eagle_Lib         (1.215 1.355)         R0
R6          10k                           0402-RES              Strawson_Eagle_Lib         (1.215 1.395)         R180
R7          4.7k                          0402-RES              Strawson_Eagle_Lib         (1.035 1.82)          R180
R8          10k                           0402-RES              Strawson_Eagle_Lib         (1.035 1.78)          R0
R10         4.7k                          0402-RES              Strawson_Eagle_Lib         (1.26 0.645)          R0
R11         4.7k                          0402-RES              Strawson_Eagle_Lib         (1.26 0.68)           R180
R12         4.7k                          0402-RES              Strawson_Eagle_Lib         (1.135 0.375)         R90
R13         4.7k                          0402-RES              Strawson_Eagle_Lib         (1.36 0.37)           R270
R14         4.7k                          0402-RES              Strawson_Eagle_Lib         (1.66 0.78)           R90
R19         47k                           0402-RES              Strawson_Eagle_Lib         (2.77 0.285)          R270
R21         261                           0402-RES              Strawson_Eagle_Lib         (0.255 1.6)           R90
R22         261                           0402-RES              Strawson_Eagle_Lib         (0.255 1.725)         R90
R25         4.7k                          0402-RES              Strawson_Eagle_Lib         (2.81 0.285)          R90
R27         160                           0402-RES              Strawson_Eagle_Lib         (1.995 1.65)          R90
R28         160                           0402-RES              Strawson_Eagle_Lib         (1.825 1.65)          R90
R29         261                           0402-RES              Strawson_Eagle_Lib         (0.73 1.6)            R270
R30         261                           0402-RES              Strawson_Eagle_Lib         (1.955 1.65)          R90
R31         261                           0402-RES              Strawson_Eagle_Lib         (0.785 1.6)           R270
R32         261                           0402-RES              Strawson_Eagle_Lib         (0.61 1.6)            R270
R33         261                           0402-RES              Strawson_Eagle_Lib         (0.675 1.6)           R270
R34         160                           0402-RES              Strawson_Eagle_Lib         (1.87 1.885)          R0
R36         4.7k                          0402-RES              Strawson_Eagle_Lib         (2.66 1.06)           R0
R37         4.7k                          0402-RES              Strawson_Eagle_Lib         (2.66 1.16)           R0
R38         4.7k                          0402-RES              Strawson_Eagle_Lib         (2.66 1.26)           R0
R39         4.7k                          0402-RES              Strawson_Eagle_Lib         (2.66 1.36)           R0
R40         4.7k                          0402-RES              Strawson_Eagle_Lib         (2.66 1.46)           R0
R41         4.7k                          0402-RES              Strawson_Eagle_Lib         (2.66 1.56)           R0
R42         4.7k                          0402-RES              Strawson_Eagle_Lib         (2.66 1.655)          R0
R43         4.7k                          0402-RES              Strawson_Eagle_Lib         (2.68 1.765)          R270
R44         1k                            0402-RES              Strawson_Eagle_Lib         (1.82 1.46)           R270
R45         47k                           0402-RES              Strawson_Eagle_Lib         (1.84 1.085)          R90
R46         1K                            0402-RES              Strawson_Eagle_Lib         (2.455 1.295)         R0
R47         100k                          0402-RES              Strawson_Eagle_Lib         (1.835 1.335)         R270
R48         10k                           0402-RES              Strawson_Eagle_Lib         (1.9 1.025)           R90
R49         65k                           0402-RES              Strawson_Eagle_Lib         (1.94 1.025)          R270
R50         4.7k                          0402-RES              Strawson_Eagle_Lib         (2.66 1.11)           R0
R51         4.7k                          0402-RES              Strawson_Eagle_Lib         (2.66 1.21)           R0
R52         4.7k                          0402-RES              Strawson_Eagle_Lib         (2.66 1.31)           R0
R53         4.7k                          0402-RES              Strawson_Eagle_Lib         (2.66 1.41)           R0
RED         RED                           LED-0603              SparkFun-LED               (0.21 1.61)           R180
RESET       SWITCH-MOMENTARY-2-SMD-1101NE TACTILE-SWITCH-1101NE SparkFun-Electromechanical (0.23 0.605)          R90
SPI1.1      JST_SH_6                      JST_SH_6              Strawson_Eagle_Lib         (2.035 0.355)         R90
SPI1.2      JST_SH_6                      JST_SH_6              Strawson_Eagle_Lib         (1.825 0.355)         R90
U$1         SERVO_HEADERS_8X              3X8_0.1"_HEADER       Strawson_Eagle_Lib         (2.85 1.76)           R0
UART1       JST_SH_4                      JST_SH_4_SMD          Strawson_Eagle_Lib         (1.955 0.775)         R0
UART5       JST_SH_4                      JST_SH_4_SMD          Strawson_Eagle_Lib         (2.255 0.775)         R0
